Attractiveness label,Standard Deviation,Files
2.452,0.65,./SCUT_FBP/SCUT-FBP-251.jpg
2.096,0.6,./SCUT_FBP/SCUT-FBP-252.jpg
1.857,0.6,./SCUT_FBP/SCUT-FBP-253.jpg
2.507,0.69,./SCUT_FBP/SCUT-FBP-254.jpg
2.451,0.69,./SCUT_FBP/SCUT-FBP-255.jpg
3,0.79,./SCUT_FBP/SCUT-FBP-256.jpg
2.264,0.67,./SCUT_FBP/SCUT-FBP-257.jpg
2.057,0.59,./SCUT_FBP/SCUT-FBP-258.jpg
2.486,0.65,./SCUT_FBP/SCUT-FBP-259.jpg
2.386,0.64,./SCUT_FBP/SCUT-FBP-260.jpg
2.114,0.63,./SCUT_FBP/SCUT-FBP-261.jpg
2.057,0.51,./SCUT_FBP/SCUT-FBP-262.jpg
2.451,0.58,./SCUT_FBP/SCUT-FBP-263.jpg
1.775,0.66,./SCUT_FBP/SCUT-FBP-264.jpg
2.521,0.69,./SCUT_FBP/SCUT-FBP-265.jpg
2.257,0.63,./SCUT_FBP/SCUT-FBP-266.jpg
1.653,0.65,./SCUT_FBP/SCUT-FBP-267.jpg
2.042,0.66,./SCUT_FBP/SCUT-FBP-268.jpg
2.042,0.57,./SCUT_FBP/SCUT-FBP-269.jpg
2.543,0.67,./SCUT_FBP/SCUT-FBP-270.jpg
3.282,0.94,./SCUT_FBP/SCUT-FBP-271.jpg
2.239,0.69,./SCUT_FBP/SCUT-FBP-272.jpg
2.083,0.62,./SCUT_FBP/SCUT-FBP-273.jpg
2.2,0.67,./SCUT_FBP/SCUT-FBP-274.jpg
2.329,0.7,./SCUT_FBP/SCUT-FBP-275.jpg
2.722,0.74,./SCUT_FBP/SCUT-FBP-276.jpg
2.408,0.71,./SCUT_FBP/SCUT-FBP-277.jpg
3.306,0.74,./SCUT_FBP/SCUT-FBP-278.jpg
2.514,0.72,./SCUT_FBP/SCUT-FBP-279.jpg
2.329,0.53,./SCUT_FBP/SCUT-FBP-280.jpg
1.803,0.6,./SCUT_FBP/SCUT-FBP-281.jpg
3.014,0.86,./SCUT_FBP/SCUT-FBP-282.jpg
1.875,0.58,./SCUT_FBP/SCUT-FBP-283.jpg
2.343,0.59,./SCUT_FBP/SCUT-FBP-284.jpg
2.296,0.6,./SCUT_FBP/SCUT-FBP-285.jpg
2.042,0.6,./SCUT_FBP/SCUT-FBP-286.jpg
1.914,0.56,./SCUT_FBP/SCUT-FBP-287.jpg
2.157,0.53,./SCUT_FBP/SCUT-FBP-288.jpg
2.286,0.64,./SCUT_FBP/SCUT-FBP-289.jpg
2.171,0.61,./SCUT_FBP/SCUT-FBP-290.jpg
2.357,0.59,./SCUT_FBP/SCUT-FBP-291.jpg
2.286,0.7,./SCUT_FBP/SCUT-FBP-292.jpg
2.929,0.82,./SCUT_FBP/SCUT-FBP-293.jpg
2.653,0.73,./SCUT_FBP/SCUT-FBP-294.jpg
3.028,0.72,./SCUT_FBP/SCUT-FBP-295.jpg
2.423,0.62,./SCUT_FBP/SCUT-FBP-296.jpg
2.414,0.67,./SCUT_FBP/SCUT-FBP-297.jpg
2.757,0.88,./SCUT_FBP/SCUT-FBP-298.jpg
3.282,0.93,./SCUT_FBP/SCUT-FBP-299.jpg
2.319,0.6,./SCUT_FBP/SCUT-FBP-300.jpg
2,0.65,./SCUT_FBP/SCUT-FBP-301.jpg
2.529,0.61,./SCUT_FBP/SCUT-FBP-302.jpg
2.7,0.77,./SCUT_FBP/SCUT-FBP-303.jpg
2.486,0.63,./SCUT_FBP/SCUT-FBP-304.jpg
2.3,0.64,./SCUT_FBP/SCUT-FBP-305.jpg
2.986,0.85,./SCUT_FBP/SCUT-FBP-306.jpg
2.614,0.79,./SCUT_FBP/SCUT-FBP-307.jpg
2.597,0.71,./SCUT_FBP/SCUT-FBP-308.jpg
2.286,0.66,./SCUT_FBP/SCUT-FBP-309.jpg
2.7,0.77,./SCUT_FBP/SCUT-FBP-310.jpg
3.214,0.85,./SCUT_FBP/SCUT-FBP-311.jpg
3.071,0.71,./SCUT_FBP/SCUT-FBP-312.jpg
2.214,0.68,./SCUT_FBP/SCUT-FBP-313.jpg
2.535,0.67,./SCUT_FBP/SCUT-FBP-314.jpg
2.771,0.75,./SCUT_FBP/SCUT-FBP-315.jpg
3.07,0.76,./SCUT_FBP/SCUT-FBP-316.jpg
1.957,0.62,./SCUT_FBP/SCUT-FBP-317.jpg
2.296,0.64,./SCUT_FBP/SCUT-FBP-318.jpg
2.757,0.71,./SCUT_FBP/SCUT-FBP-319.jpg
3.274,0.79,./SCUT_FBP/SCUT-FBP-320.jpg
1.914,0.61,./SCUT_FBP/SCUT-FBP-321.jpg
2.211,0.65,./SCUT_FBP/SCUT-FBP-322.jpg
2.38,0.64,./SCUT_FBP/SCUT-FBP-323.jpg
2.31,0.73,./SCUT_FBP/SCUT-FBP-324.jpg
2.69,0.67,./SCUT_FBP/SCUT-FBP-325.jpg
3.543,0.72,./SCUT_FBP/SCUT-FBP-326.jpg
2.4,0.6,./SCUT_FBP/SCUT-FBP-327.jpg
2.271,0.61,./SCUT_FBP/SCUT-FBP-328.jpg
2.181,0.61,./SCUT_FBP/SCUT-FBP-329.jpg
2.639,0.66,./SCUT_FBP/SCUT-FBP-330.jpg
2.3,0.57,./SCUT_FBP/SCUT-FBP-331.jpg
3.056,0.79,./SCUT_FBP/SCUT-FBP-332.jpg
1.914,0.5,./SCUT_FBP/SCUT-FBP-333.jpg
3.111,0.74,./SCUT_FBP/SCUT-FBP-334.jpg
2.69,0.73,./SCUT_FBP/SCUT-FBP-335.jpg
2.944,0.81,./SCUT_FBP/SCUT-FBP-336.jpg
2.113,0.62,./SCUT_FBP/SCUT-FBP-337.jpg
2.543,0.7,./SCUT_FBP/SCUT-FBP-338.jpg
1.771,0.57,./SCUT_FBP/SCUT-FBP-339.jpg
2.186,0.62,./SCUT_FBP/SCUT-FBP-340.jpg
2.889,0.78,./SCUT_FBP/SCUT-FBP-341.jpg
1.871,0.7,./SCUT_FBP/SCUT-FBP-342.jpg
2.778,0.74,./SCUT_FBP/SCUT-FBP-343.jpg
2.786,0.76,./SCUT_FBP/SCUT-FBP-344.jpg
2.214,0.63,./SCUT_FBP/SCUT-FBP-345.jpg
2.686,0.73,./SCUT_FBP/SCUT-FBP-346.jpg
3.789,0.77,./SCUT_FBP/SCUT-FBP-347.jpg
2.028,0.56,./SCUT_FBP/SCUT-FBP-348.jpg
3.099,0.8,./SCUT_FBP/SCUT-FBP-349.jpg
2.157,0.61,./SCUT_FBP/SCUT-FBP-350.jpg
2.408,0.71,./SCUT_FBP/SCUT-FBP-351.jpg
2.028,0.53,./SCUT_FBP/SCUT-FBP-352.jpg
2.757,0.84,./SCUT_FBP/SCUT-FBP-353.jpg
2.324,0.71,./SCUT_FBP/SCUT-FBP-354.jpg
2.671,0.65,./SCUT_FBP/SCUT-FBP-355.jpg
3.429,0.91,./SCUT_FBP/SCUT-FBP-356.jpg
2.986,0.86,./SCUT_FBP/SCUT-FBP-357.jpg
2.918,0.8,./SCUT_FBP/SCUT-FBP-358.jpg
2.2,0.63,./SCUT_FBP/SCUT-FBP-359.jpg
2.606,0.73,./SCUT_FBP/SCUT-FBP-360.jpg
1.857,0.62,./SCUT_FBP/SCUT-FBP-361.jpg
2.625,0.66,./SCUT_FBP/SCUT-FBP-362.jpg
2.386,0.75,./SCUT_FBP/SCUT-FBP-363.jpg
3.056,0.91,./SCUT_FBP/SCUT-FBP-364.jpg
2.943,0.88,./SCUT_FBP/SCUT-FBP-365.jpg
2.732,0.83,./SCUT_FBP/SCUT-FBP-366.jpg
2.042,0.69,./SCUT_FBP/SCUT-FBP-367.jpg
2.183,0.64,./SCUT_FBP/SCUT-FBP-368.jpg
3.028,0.81,./SCUT_FBP/SCUT-FBP-369.jpg
3.057,0.76,./SCUT_FBP/SCUT-FBP-370.jpg
1.986,0.64,./SCUT_FBP/SCUT-FBP-371.jpg
2.452,0.65,./SCUT_FBP/SCUT-FBP-372.jpg
2.643,0.8,./SCUT_FBP/SCUT-FBP-373.jpg
2.043,0.58,./SCUT_FBP/SCUT-FBP-374.jpg
2.529,0.7,./SCUT_FBP/SCUT-FBP-375.jpg
2.333,0.75,./SCUT_FBP/SCUT-FBP-376.jpg
2.229,0.62,./SCUT_FBP/SCUT-FBP-377.jpg
2.986,0.83,./SCUT_FBP/SCUT-FBP-378.jpg
2.648,0.81,./SCUT_FBP/SCUT-FBP-379.jpg
3.431,0.8,./SCUT_FBP/SCUT-FBP-380.jpg
4.718,0.66,./SCUT_FBP/SCUT-FBP-381.jpg
4.803,0.5,./SCUT_FBP/SCUT-FBP-382.jpg
2.371,0.71,./SCUT_FBP/SCUT-FBP-383.jpg
2.282,0.61,./SCUT_FBP/SCUT-FBP-384.jpg
2.338,0.63,./SCUT_FBP/SCUT-FBP-385.jpg
2.082,0.66,./SCUT_FBP/SCUT-FBP-386.jpg
2.343,0.63,./SCUT_FBP/SCUT-FBP-387.jpg
2.437,0.65,./SCUT_FBP/SCUT-FBP-388.jpg
3.465,0.73,./SCUT_FBP/SCUT-FBP-389.jpg
3.529,0.72,./SCUT_FBP/SCUT-FBP-390.jpg
3.394,0.76,./SCUT_FBP/SCUT-FBP-391.jpg
2.746,0.75,./SCUT_FBP/SCUT-FBP-392.jpg
3.129,0.76,./SCUT_FBP/SCUT-FBP-393.jpg
2.292,0.72,./SCUT_FBP/SCUT-FBP-394.jpg
2.563,0.67,./SCUT_FBP/SCUT-FBP-395.jpg
2.457,0.63,./SCUT_FBP/SCUT-FBP-396.jpg
2.268,0.61,./SCUT_FBP/SCUT-FBP-397.jpg
2.343,0.68,./SCUT_FBP/SCUT-FBP-398.jpg
3.214,0.7,./SCUT_FBP/SCUT-FBP-399.jpg
2.443,0.61,./SCUT_FBP/SCUT-FBP-400.jpg
2.042,0.75,./SCUT_FBP/SCUT-FBP-401.jpg
2.7,0.77,./SCUT_FBP/SCUT-FBP-402.jpg
2.043,0.62,./SCUT_FBP/SCUT-FBP-403.jpg
2.761,0.76,./SCUT_FBP/SCUT-FBP-404.jpg
1.843,0.61,./SCUT_FBP/SCUT-FBP-405.jpg
2.071,0.62,./SCUT_FBP/SCUT-FBP-406.jpg
2,0.61,./SCUT_FBP/SCUT-FBP-407.jpg
2.257,0.67,./SCUT_FBP/SCUT-FBP-408.jpg
2.429,0.79,./SCUT_FBP/SCUT-FBP-409.jpg
1.657,0.59,./SCUT_FBP/SCUT-FBP-410.jpg
2.268,0.63,./SCUT_FBP/SCUT-FBP-411.jpg
1.571,0.53,./SCUT_FBP/SCUT-FBP-412.jpg
2.343,0.72,./SCUT_FBP/SCUT-FBP-413.jpg
1.817,0.57,./SCUT_FBP/SCUT-FBP-414.jpg
2.775,0.81,./SCUT_FBP/SCUT-FBP-415.jpg
2.714,0.7,./SCUT_FBP/SCUT-FBP-416.jpg
3.239,0.73,./SCUT_FBP/SCUT-FBP-417.jpg
2.113,0.62,./SCUT_FBP/SCUT-FBP-418.jpg
2.38,0.62,./SCUT_FBP/SCUT-FBP-419.jpg
2.324,0.58,./SCUT_FBP/SCUT-FBP-420.jpg
2.5,0.65,./SCUT_FBP/SCUT-FBP-421.jpg
2.62,0.64,./SCUT_FBP/SCUT-FBP-422.jpg
2.371,0.64,./SCUT_FBP/SCUT-FBP-423.jpg
2.972,0.79,./SCUT_FBP/SCUT-FBP-424.jpg
2.643,0.68,./SCUT_FBP/SCUT-FBP-425.jpg
2.845,0.89,./SCUT_FBP/SCUT-FBP-426.jpg
2.225,0.61,./SCUT_FBP/SCUT-FBP-427.jpg
2.155,0.67,./SCUT_FBP/SCUT-FBP-428.jpg
1.643,0.59,./SCUT_FBP/SCUT-FBP-429.jpg
1.986,0.63,./SCUT_FBP/SCUT-FBP-430.jpg
2.014,0.52,./SCUT_FBP/SCUT-FBP-431.jpg
1.914,0.58,./SCUT_FBP/SCUT-FBP-432.jpg
1.789,0.63,./SCUT_FBP/SCUT-FBP-433.jpg
1.986,0.71,./SCUT_FBP/SCUT-FBP-434.jpg
2.6,0.73,./SCUT_FBP/SCUT-FBP-435.jpg
2.071,0.6,./SCUT_FBP/SCUT-FBP-436.jpg
2.786,0.68,./SCUT_FBP/SCUT-FBP-437.jpg
2.371,0.66,./SCUT_FBP/SCUT-FBP-438.jpg
2.431,0.67,./SCUT_FBP/SCUT-FBP-439.jpg
1.542,0.67,./SCUT_FBP/SCUT-FBP-440.jpg
1.889,0.55,./SCUT_FBP/SCUT-FBP-441.jpg
2.171,0.66,./SCUT_FBP/SCUT-FBP-442.jpg
2.549,0.71,./SCUT_FBP/SCUT-FBP-443.jpg
1.944,0.58,./SCUT_FBP/SCUT-FBP-444.jpg
2.778,0.7,./SCUT_FBP/SCUT-FBP-445.jpg
1.958,0.52,./SCUT_FBP/SCUT-FBP-446.jpg
2.239,0.6,./SCUT_FBP/SCUT-FBP-447.jpg
1.943,0.61,./SCUT_FBP/SCUT-FBP-448.jpg
2.889,0.74,./SCUT_FBP/SCUT-FBP-449.jpg
1.929,0.6,./SCUT_FBP/SCUT-FBP-450.jpg
2.662,0.74,./SCUT_FBP/SCUT-FBP-451.jpg
2.486,0.61,./SCUT_FBP/SCUT-FBP-452.jpg
2.592,0.73,./SCUT_FBP/SCUT-FBP-453.jpg
2.614,0.8,./SCUT_FBP/SCUT-FBP-454.jpg
2.268,0.63,./SCUT_FBP/SCUT-FBP-455.jpg
2.314,0.63,./SCUT_FBP/SCUT-FBP-456.jpg
2.057,0.61,./SCUT_FBP/SCUT-FBP-457.jpg
1.886,0.65,./SCUT_FBP/SCUT-FBP-458.jpg
1.986,0.62,./SCUT_FBP/SCUT-FBP-459.jpg
3.042,0.85,./SCUT_FBP/SCUT-FBP-460.jpg
2.268,0.7,./SCUT_FBP/SCUT-FBP-461.jpg
2.429,0.73,./SCUT_FBP/SCUT-FBP-462.jpg
2.2,0.63,./SCUT_FBP/SCUT-FBP-463.jpg
2.181,0.66,./SCUT_FBP/SCUT-FBP-464.jpg
4.014,0.88,./SCUT_FBP/SCUT-FBP-465.jpg
4.243,0.81,./SCUT_FBP/SCUT-FBP-466.jpg
3.592,0.84,./SCUT_FBP/SCUT-FBP-467.jpg
3.732,0.96,./SCUT_FBP/SCUT-FBP-468.jpg
2.371,0.68,./SCUT_FBP/SCUT-FBP-469.jpg
2.586,0.77,./SCUT_FBP/SCUT-FBP-470.jpg
2.357,0.61,./SCUT_FBP/SCUT-FBP-471.jpg
2.197,0.58,./SCUT_FBP/SCUT-FBP-472.jpg
3.127,0.79,./SCUT_FBP/SCUT-FBP-473.jpg
2.529,0.72,./SCUT_FBP/SCUT-FBP-474.jpg
2.2,0.55,./SCUT_FBP/SCUT-FBP-475.jpg
2,0.56,./SCUT_FBP/SCUT-FBP-476.jpg
2.171,0.66,./SCUT_FBP/SCUT-FBP-477.jpg
2.186,0.69,./SCUT_FBP/SCUT-FBP-478.jpg
2.042,0.64,./SCUT_FBP/SCUT-FBP-479.jpg
1.958,0.52,./SCUT_FBP/SCUT-FBP-480.jpg
1.786,0.56,./SCUT_FBP/SCUT-FBP-481.jpg
2.657,0.66,./SCUT_FBP/SCUT-FBP-482.jpg
2.614,0.62,./SCUT_FBP/SCUT-FBP-483.jpg
2.914,0.68,./SCUT_FBP/SCUT-FBP-484.jpg
1.917,0.62,./SCUT_FBP/SCUT-FBP-485.jpg
2.225,0.66,./SCUT_FBP/SCUT-FBP-486.jpg
2.057,0.61,./SCUT_FBP/SCUT-FBP-487.jpg
3.271,0.7,./SCUT_FBP/SCUT-FBP-488.jpg
2.629,0.68,./SCUT_FBP/SCUT-FBP-489.jpg
2.296,0.57,./SCUT_FBP/SCUT-FBP-490.jpg
2.648,0.72,./SCUT_FBP/SCUT-FBP-491.jpg
2.563,0.71,./SCUT_FBP/SCUT-FBP-492.jpg
3.296,0.74,./SCUT_FBP/SCUT-FBP-493.jpg
2.086,0.61,./SCUT_FBP/SCUT-FBP-494.jpg
2.957,0.75,./SCUT_FBP/SCUT-FBP-495.jpg
3.186,0.87,./SCUT_FBP/SCUT-FBP-496.jpg
2.414,0.71,./SCUT_FBP/SCUT-FBP-497.jpg
2.549,0.65,./SCUT_FBP/SCUT-FBP-498.jpg
2.945,0.85,./SCUT_FBP/SCUT-FBP-499.jpg
3.324,0.69,./SCUT_FBP/SCUT-FBP-500.jpg